,cafe_names,cafe_places,cafe_ranks,cafe_adresses,cafe_images1,ca_images2
532,ほんま食堂, 西田辺駅 343m / カフェ・喫茶(カフェ)、カレー（その他）、定食・食堂            ,3.22,大阪府大阪市阿倍野区昭和町5-2-21 ,"['https://tblg.k-img.com/restaurant/images/Rvw/175559/320x320_square_c46ccbd3b7ce31bee2dc99c683633674.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175559/320x320_square_062b52f0585e0a025ab5c38b1418652c.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/137267/320x320_square_137267220.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/171544/150x150_square_622febc7d995cc26e9a9ec2e43c649c2.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/171544/150x150_square_d89966cba3fe30d37c86ead36c1ff9dc.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/171544/150x150_square_b7e068952dd04f7102a9e77397718b68.jpg']"
533,refill, 本町駅 470m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(カフェ)、カフェ・喫茶(喫茶店)            ,3.22,大阪府大阪市西区靭本町1-14-8 鈴木ビル 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/24925/320x320_square_24925860.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/24925/320x320_square_24925879.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150967/320x320_square_150967279.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/36186/150x150_square_36186897.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/25912/150x150_square_25912222.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/25912/150x150_square_25912228.jpg']"
534,クレール, 梅田駅 208m / カフェ・喫茶(カフェ)、ケーキ、アイスクリーム            ,3.22,大阪府大阪市北区角田町7-10 HEP NAVIO  6F,"['https://tblg.k-img.com/restaurant/images/Rvw/128465/320x320_square_128465484.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/128464/320x320_square_128464812.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/128467/320x320_square_128467522.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/166332/150x150_square_d01f1467d36125b8ba8f83c81cad0694.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/166332/150x150_square_0d553ac0cdb3a4a56511328eaa8c1764.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/166332/150x150_square_f787e87d39fb68888b3f92ae60035c75.jpg']"
535,ピープボークラブ, 本町駅 570m / カフェ・喫茶(喫茶店)、バー・お酒（その他）            ,3.22,大阪府大阪市西区阿波座1-12-21 喜多ビル 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/15613/320x320_square_15613604.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/15613/320x320_square_15613605.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/15613/320x320_square_15613606.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/47130/150x150_square_47130109.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/47129/150x150_square_47129106.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/47129/150x150_square_47129109.jpg']"
536,風車, 淡路駅 111m / カフェ・喫茶(喫茶店)            ,3.22,大阪府大阪市東淀川区淡路4-8-13 ,"['https://tblg.k-img.com/restaurant/images/Rvw/146674/320x320_square_146674388.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146674/320x320_square_146674396.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/74727/320x320_square_74727189.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/74727/150x150_square_74727173.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/74727/150x150_square_74727166.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/74727/150x150_square_74727170.jpg']"
537,デリス ファクトリー, 北浜駅 439m / カフェ・喫茶(カフェ)、ケーキ、スイーツ（その他）            ,3.22,大阪府大阪市東淀川区淡路4-8-13 ,"['https://tblg.k-img.com/restaurant/images/Rvw/162036/320x320_square_162036148.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/122465/320x320_square_122465662.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/122465/320x320_square_122465666.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/112506/150x150_square_112506355.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/112506/150x150_square_112506358.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/112506/150x150_square_112506362.jpg']"
538,BUNGA CAFE, 恵美須町駅 277m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(カフェ)、レストラン（その他）            ,3.22,大阪府大阪市浪速区恵美須東1-21-5 ,"['https://tblg.k-img.com/restaurant/images/Rvw/138314/320x320_square_138314977.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/138315/320x320_square_138315388.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/138315/320x320_square_138315421.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/87590/150x150_square_87590271.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/87590/150x150_square_87590274.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/87590/150x150_square_87590275.jpg']"
539,ドリンクスタンド シーソー 大阪港, 大阪港駅 525m / カフェ・喫茶(カフェ・喫茶（その他）)、パン・サンドイッチ（その他）、ソフトクリーム            ,3.22,大阪府大阪市港区海岸通1-1-10 海遊館エントランスビル 2F,"['https://tblg.k-img.com/restaurant/images/Rvw/131782/320x320_square_131782081.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/113383/320x320_square_113383252.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/131782/320x320_square_131782731.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/74793/150x150_square_74793372.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/74793/150x150_square_74793376.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/74793/150x150_square_74793379.jpg']"
540,グラマシーニューヨーク 大阪高島屋店, 難波（南海）駅 90m / カフェ・喫茶(カフェ)、ケーキ            ,3.21,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ  B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/85172/320x320_square_85172968.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/85172/320x320_square_85172958.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/1633/320x320_square_1633425.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/31990/150x150_square_31990205.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/31990/150x150_square_31990207.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/31990/150x150_square_31990208.jpg']"
541,ヒロコーヒー 大丸梅田店, 大阪梅田（阪神）駅 89m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(喫茶店)、ケーキ            ,3.21,大阪府大阪市北区梅田3-1-1 大丸梅田店  9F,"['https://tblg.k-img.com/restaurant/images/Rvw/47630/320x320_square_47630589.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/47630/320x320_square_47630581.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/47630/320x320_square_47630593.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/77840/150x150_square_77840901.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/77840/150x150_square_77840903.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/77840/150x150_square_77840904.jpg']"
542,太陽ノ塔 本店, 中崎町駅 183m / カフェ・喫茶(カフェ)、ケーキ            ,3.21,大阪府大阪市北区中崎2-3-12 パイロットビル1F,"['https://tblg.k-img.com/restaurant/images/Rvw/162052/320x320_square_162052758.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/162176/320x320_square_162176389.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/162052/320x320_square_162052788.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/150991/150x150_square_150991422.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150991/150x150_square_150991420.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/150991/150x150_square_150991431.jpg']"
543,カフェ・ベローチェ 淀屋橋店, 淀屋橋駅 130m / カフェ・喫茶(カフェ)、カフェ・喫茶(コーヒー専門店)、サンドイッチ            ,3.21,大阪府大阪市中央区北浜3-1-22 あいおい損保淀屋橋ビル1・2F,"['https://tblg.k-img.com/restaurant/images/Rvw/175557/320x320_square_fb963e87d93364e1863a8e41ca719edb.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/174991/320x320_square_dbe2c46949b8548d0c5a6745b8383f91.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/133589/320x320_square_133589500.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/78659/150x150_square_78659534.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/78659/150x150_square_78659535.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/78659/150x150_square_78659537.jpg']"
544,ザ ブリック, 四ツ橋駅 395m / カフェ・喫茶(カフェ)、スイーツ（その他）、バル・バール            ,3.21,大阪府大阪市中央区西心斎橋2-9-32 アメリカ村　アローホテル　Ｂ１Ｆ,"['https://tblg.k-img.com/restaurant/images/Rvw/129750/320x320_square_129750957.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/129750/320x320_square_129750952.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/129750/320x320_square_129750934.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/49416/150x150_square_49416407.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/49416/150x150_square_49416403.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/49416/150x150_square_49416402.jpg']"
545,辻利 アルデ新大阪店, 新大阪駅 62m / カフェ・喫茶(カフェ)、ソフトクリーム、パフェ            ,3.21,大阪府大阪市淀川区西中島5-16-1 JR新大阪駅2F アルデ新大阪,"['https://tblg.k-img.com/restaurant/images/Rvw/176173/320x320_square_7920647849d58559450e36a99e7d241d.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172192/320x320_square_d66843ec445b5a0a0180ebd0b10c6f91.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172192/320x320_square_2eabf3a96235fba1368a8451507a5df7.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/72460/150x150_square_72460722.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/72460/150x150_square_72460723.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/72460/150x150_square_72460726.jpg']"
546,焼き芋専門店 維新蔵 ルクア大阪店, 大阪駅 98m / カフェ・喫茶(カフェ)、スイーツ（その他）、自然食            ,3.21,大阪府大阪市北区梅田3-1-3 ルクア  フードホール B2F,"['https://tblg.k-img.com/restaurant/images/Rvw/164934/320x320_square_3ab284c10ed582aa5bf19ece05e3b49f.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/164934/320x320_square_235e2eb348e834a92ec607d4bcb0948b.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/164934/320x320_square_30624fbb03a4b266e0a0a9ae74753295.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/163429/150x150_square_f3818b958c7aabe362896f06c08eacfc.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/163429/150x150_square_88d16095c26a945e2eb1b80e3de08707.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/163429/150x150_square_e2960a33908b5f4352bf98334a02d2d2.jpg']"
547,Monkey Pod, あびこ駅 86m / カフェ・喫茶(カフェ)、パンケーキ、パスタ            ,3.21,大阪府大阪市住吉区我孫子東2-6-16 シギハイツⅡ 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/58974/320x320_square_58974464.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/58974/320x320_square_58974480.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/58974/320x320_square_58974489.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/49964/150x150_square_49964489.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/49964/150x150_square_49964488.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/46470/150x150_square_46470277.jpg']"
548,モンルージュ ミツヤ, 大阪梅田（阪急）駅 67m / カフェ・喫茶(喫茶店)、オムライス、パフェ            ,3.21,大阪府大阪市北区芝田1-1-3 阪急三番街  B2F,"['https://tblg.k-img.com/restaurant/images/Rvw/45812/320x320_square_45812686.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/45241/320x320_square_45241168.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/27965/320x320_square_27965143.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/86259/150x150_square_86259605.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/86259/150x150_square_86259600.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/86259/150x150_square_86259596.jpg']"
549,菜, 谷町六丁目駅 278m / カフェ・喫茶(喫茶店)、カフェ・喫茶(カフェ)、定食・食堂            ,3.21,大阪府大阪市中央区谷町6-14-10 ,"['https://tblg.k-img.com/restaurant/images/Rvw/174536/320x320_square_8f170bc859fce4dba78f2bfaeecfc71f.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/114268/320x320_square_114268935.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/24711/320x320_square_24711517.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/129634/150x150_square_129634365.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/129634/150x150_square_129634366.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/129634/150x150_square_129634367.jpg']"
550,ジャック＆豆の木 HEPナビオ店, 梅田駅 213m / カフェ・喫茶(カフェ)、パスタ、カレーライス            ,3.21,大阪府大阪市北区角田町7-10 HEP NAVIO  B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/108316/320x320_square_108316817.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/108316/320x320_square_108316835.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/108316/320x320_square_108316816.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/41692/150x150_square_41692904.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/41692/150x150_square_41692903.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/41692/150x150_square_41692902.jpg']"
551,珈琲と定食 MoRiSaN, 福島駅 209m / カフェ・喫茶(カフェ)、ハンバーグ、定食・食堂            ,3.21,大阪府大阪市福島区福島1-6-18 サンライズビル 2F,"['https://tblg.k-img.com/restaurant/images/Rvw/48969/320x320_square_48969812.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/51468/320x320_square_51468437.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/48969/320x320_square_48969845.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/82852/150x150_square_82852019.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/82852/150x150_square_82852023.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/82852/150x150_square_82852025.jpg']"
552,ニューMASA, 中崎町駅 98m / カフェ・喫茶(喫茶店)、カレーライス、スイーツ（その他）            ,3.21,大阪府大阪市北区中崎西1-1-16 ,"['https://tblg.k-img.com/restaurant/images/Rvw/177357/320x320_square_21d6402d4274438e4a1eb8483c449843.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/177357/320x320_square_80c52be07b9fe841b68e69333b7543eb.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/13397/320x320_square_13397074.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/177357/150x150_square_21d6402d4274438e4a1eb8483c449843.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/177357/150x150_square_80c52be07b9fe841b68e69333b7543eb.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/177357/150x150_square_02673fec8e3eb8020dce81cfc1be9fa9.jpg']"
553,カフェ・ド・ルナパーク, 恵美須町駅 374m / カフェ・喫茶(カフェ)、甘味処、パフェ            ,3.21,大阪府大阪市浪速区恵美須東1-18-6 通天閣3F,"['https://tblg.k-img.com/restaurant/images/Rvw/92476/320x320_square_92476483.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/90971/320x320_square_90971101.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/90971/320x320_square_90971105.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/109970/150x150_square_109970633.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/109970/150x150_square_109970658.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/109970/150x150_square_109970661.jpg']"
554,カフェ 三番館 なんば店, ＪＲ難波駅 151m / カフェ・喫茶(カフェ)、パスタ、パンケーキ            ,3.21,大阪府大阪市浪速区湊町2-1-57 難波サンケイビル 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/27736/320x320_square_27736908.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/30001/320x320_square_30001078.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/30001/320x320_square_30001075.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/46227/150x150_square_46227719.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/46227/150x150_square_46227706.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/46227/150x150_square_46227702.jpg']"
555,FUKUSHIMA COFFEE&Cafe de Rope, ＪＲ難波駅 445m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(カフェ)            ,3.21,大阪府大阪市浪速区稲荷1-4-18 西なんばグランドビル,"['https://tblg.k-img.com/restaurant/images/Rvw/171981/320x320_square_d1a8f122a6f22760340d2e98144aa75c.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/171981/320x320_square_6ce8b253bc43dc47d9adee2e1ffc9c6a.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/132234/320x320_square_132234316.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/131861/150x150_square_131861265.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/131861/150x150_square_131861266.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/131861/150x150_square_131861268.jpg']"
556,アナムネ, 四ツ橋駅 166m / カフェ・喫茶(カフェ)、パン・サンドイッチ（その他）、タイカレー            ,3.21,大阪府大阪市中央区西心斎橋1-8-16 中西ビル５０１,"['https://tblg.k-img.com/restaurant/images/Rvw/46673/320x320_square_46673058.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/38187/320x320_square_38187198.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/13444/320x320_square_13444162.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/143088/150x150_square_143088475.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/143088/150x150_square_143088469.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/143088/150x150_square_143088565.jpg']"
557,ドゥ・レコンパンス, 渡辺橋駅 13m / カフェ・喫茶(カフェ)            ,3.21,大阪府大阪市北区中之島3-2-30 京阪渡辺橋駅 B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/168993/320x320_square_6b6c0ca5bc0e447d5e1cc0619580b399.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/168993/320x320_square_2ae612ccd44636bebbc564d1fa070882.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/87972/320x320_square_87972245.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/109472/150x150_square_109472709.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/109472/150x150_square_109472708.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/109472/150x150_square_109472707.jpg']"
558,香, 肥後橋駅 316m / カフェ・喫茶(喫茶店)、カレーライス、ハンバーグ            ,3.21,大阪府大阪市北区中之島3-2-30 京阪渡辺橋駅 B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/133504/320x320_square_133504371.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/132370/320x320_square_132370408.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/132370/320x320_square_132370410.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/39618/150x150_square_39618793.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/39618/150x150_square_39618828.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/39618/150x150_square_39618801.jpg']"
559,香豆, 心斎橋駅 401m / カフェ・喫茶(カフェ)、ケーキ、サンドイッチ            ,3.21,大阪府大阪市中央区東心斎橋2-8-3 ,"['https://tblg.k-img.com/restaurant/images/Rvw/128697/320x320_square_128697268.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/102869/320x320_square_102869238.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/128697/320x320_square_128697257.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/122382/150x150_square_122382418.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/122382/150x150_square_122382419.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/122382/150x150_square_122382420.jpg']"
560,ヤマワキコーヒー, 長堀橋駅 383m / カフェ・喫茶(コーヒー専門店)            ,3.21,大阪府大阪市中央区南船場2-8-12 ,"['https://tblg.k-img.com/restaurant/images/Rvw/139196/320x320_square_139196944.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/128133/320x320_square_128133904.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/128133/320x320_square_128133914.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/31192/150x150_square_31192025.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/7342/150x150_square_7342323.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/7342/150x150_square_7342325.jpg']"
561,ウィズカフェバール ケー, 鶴橋駅 214m / カフェ・喫茶(カフェ)、カフェ・喫茶(カフェ・喫茶（その他）)、バー            ,3.21,大阪府大阪市天王寺区味原町13-10 アップルグリーンビルB1,"['https://tblg.k-img.com/restaurant/images/Rvw/154434/320x320_square_154434279.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/154434/320x320_square_154434285.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/18439/320x320_square_18439181.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/119794/150x150_square_119794610.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/119794/150x150_square_119794625.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/119794/150x150_square_119794627.jpg']"
562,茶茶, 北新地駅 221m / カフェ・喫茶(カフェ)            ,3.21,大阪府大阪市北区堂島地下5号 ,"['https://tblg.k-img.com/restaurant/images/Rvw/90504/320x320_square_90504415.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/90504/320x320_square_90504421.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/20653/320x320_square_20653860.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/101430/150x150_square_101430859.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/101430/150x150_square_101430860.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/101430/150x150_square_101430862.jpg']"
563,T＆Kコーヒー, 天下茶屋駅 30m / カフェ・喫茶(喫茶店)            ,3.21,大阪府大阪市西成区岸里1-1-9 ,"['https://tblg.k-img.com/restaurant/images/Rvw/137971/320x320_square_137971446.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/137971/320x320_square_137971441.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/42100/320x320_square_42100088.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/42100/150x150_square_42100099.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/42100/150x150_square_42100091.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/42100/150x150_square_42100088.jpg']"
564,オムライス&cafe STYLE, 西中島南方駅 719m / カフェ・喫茶(カフェ)、オムライス、ハンバーグ            ,3.21,大阪府大阪市淀川区木川東4丁目15-2 ,"['https://tblg.k-img.com/restaurant/images/Rvw/106834/320x320_square_106834731.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/52585/320x320_square_52585346.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/61898/320x320_square_61898181.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/78964/150x150_square_78964425.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/78964/150x150_square_78964450.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/78964/150x150_square_78964461.jpg']"
565,ひなたの湯, 三国駅 856m / カフェ・喫茶(カフェ)、バル・バール            ,3.21,大阪府大阪市淀川区三国本町1-6-15 ドルチェヴィータ新大阪9F,"['https://tblg.k-img.com/restaurant/images/Rvw/117300/320x320_square_117300040.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/87599/320x320_square_87599900.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/117300/320x320_square_117300036.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/97112/150x150_square_97112440.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/97112/150x150_square_97112446.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/97112/150x150_square_97112458.jpg']"
566,ビーワイオーカフェバイハマヤ, 天王寺駅前駅 42m / カフェ・喫茶(カフェ)            ,3.21,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス 近鉄本店 タワー館 B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/24966/320x320_square_24966381.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/24966/320x320_square_24966388.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/21145/320x320_square_21145953.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/44431/150x150_square_44431113.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/44431/150x150_square_44431118.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/44431/150x150_square_44431102.jpg']"
567,レストランかのう, 谷町九丁目駅 370m / カフェ・喫茶(喫茶店)、洋食、オムライス            ,3.21,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス 近鉄本店 タワー館 B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/27822/320x320_square_27822518.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/27822/320x320_square_27822498.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/27822/320x320_square_27822354.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/34379/150x150_square_34379681.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34379/150x150_square_34379690.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34379/150x150_square_34379691.jpg']"
568,ハーブス 阪急三番街店, 大阪梅田（阪急）駅 116m / カフェ・喫茶(カフェ)、ケーキ            ,3.20,大阪府大阪市北区芝田1-1-3 阪急三番街  B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/145640/320x320_square_145640700.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/145640/320x320_square_145640704.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/139619/320x320_square_139619552.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/91996/150x150_square_91996616.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/91996/150x150_square_91996631.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/91996/150x150_square_91996643.jpg']"
